TIF,施設,全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,回答数順位,回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,100万円未満,100万円以上 200万円未満,200万円以上 300万円未満,300万円以上 400万円未満,400万円以上 500万円未満,500万円以上 600万円未満,600万円以上 700万円未満,700万円以上 800万円未満,800万円以上 900万円未満,"900万円以上 1,000万円未満","1,000万円以上 1,200万円未満","1,200万円以上 1,500万円未満","1,500万円以上",北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県
石川県,たちばな四季亭,185,3,0,,17,35,4.576687117,3,4.622754491,3,4.587412587,4.333333333,8.340540541,98,26,0.389189189,2,0,0.666666667,0,0.059459459,0.243243243,0.124324324,0.232432432,0.27027027,0.07027027,0,0,0,0.362162162,0.605405405,0.691891892,0.189189189,0.091891892,0.027027027,0,0.005405405,0.07027027,0.064864865,0.405405405,0,0.005405405,0.189189189,0.016216216,0.097297297,0.016216216,0,0,0.778378378,0.805405405,0.708108108,0.075675676,0,0,0,0,0,0,0,0,0,0,0.005405405,0,0.021621622,0.032432432,0.059459459,0.064864865,0.075675676,0.097297297,0.124324324,0.037837838,0.091891892,0.054054054,0.048648649,0.12972973,0.043243243,0.140540541,0.016216216,0,0,0,0,0,0,0.016216216,0,0,0.059459459,0,0.075675676,0.043243243,0.005405405,0.102702703,0.145945946,0.064864865,0,0.005405405,0.032432432,0.021621622,0.091891892,0,0.032432432,0.059459459,0.118918919,0.075675676,0.010810811,0.005405405,0,0,0,0.005405405,0,0,0.005405405,0,0,0,0,0,0,0,0,0.005405405,0
石川県,湖畔の宿　森本,62,1,3,-0.666666667,39,48,4.589285714,4,4.589285714,4,4.583333333,4,8.451612903,34,8,0.419354839,0,0,0,0,0.129032258,0.387096774,0.14516129,0.161290323,0.177419355,0,0,0,0,0.387096774,0.564516129,0.741935484,0.14516129,0.096774194,0.016129032,0,0.016129032,0.14516129,0.096774194,0.403225807,0,0,0.14516129,0.016129032,0.112903226,0,0,0,0.64516129,0.85483871,0.725806452,0.129032258,0,0,0,0,0,0,0,0,0,0,0.048387097,0,0.032258065,0.048387097,0.032258065,0.016129032,0.14516129,0.112903226,0.112903226,0.080645161,0.112903226,0.048387097,0.032258065,0.112903226,0.096774194,0.048387097,0,0.016129032,0,0.016129032,0,0,0,0.016129032,0,0.016129032,0.016129032,0.016129032,0.096774194,0.129032258,0.016129032,0.048387097,0.129032258,0.032258065,0,0.016129032,0,0,0.048387097,0,0.032258065,0.048387097,0.241935484,0.016129032,0.032258065,0,0,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0
石川県,ゆのくに天祥,51,27,0,,47,13,4.425531915,3.888888889,4.489361702,4,4.574468085,4.333333333,8.549019608,25,4,0.411764706,11,4,0.259259259,0.039215686,0.196078431,0.274509804,0.274509804,0.156862745,0.039215686,0.019607843,0,0,0,0.450980392,0.549019608,0.568627451,0.294117647,0.058823529,0.058823529,0.019607843,0.019607843,0.019607843,0.058823529,0.196078431,0.019607843,0,0.156862745,0,0.392156863,0.039215686,0,0,0.666666667,0.862745098,0.509803922,0.058823529,0,0,0,0.019607843,0,0,0,0,0,0,0.019607843,0,0,0.019607843,0.019607843,0.078431373,0.039215686,0.117647059,0.098039216,0.078431373,0.196078431,0.098039216,0.078431373,0.117647059,0.039215686,0.019607843,0.039215686,0,0,0,0,0,0,0,0,0,0.019607843,0,0.254901961,0.039215686,0.019607843,0.058823529,0.058823529,0.019607843,0,0.019607843,0.039215686,0,0.098039216,0.019607843,0.039215686,0.039215686,0.098039216,0.039215686,0.019607843,0.058823529,0,0,0,0,0,0,0,0,0,0,0,0.019607843,0,0,0,0,0
石川県,変なホテル　小松駅前,53,3,2,0.5,44,36,4.444444444,5,4.590909091,5,4.384615385,5,8.528301887,28,4,0.452830189,3,0,1,0,0.094339623,0.188679245,0.339622642,0.245283019,0.094339623,0.018867925,0.018867925,0,0,0.716981132,0.20754717,0.566037736,0.20754717,0.056603774,0.169811321,0,0.377358491,0.056603774,0.056603774,0.075471698,0.018867925,0,0.037735849,0.188679245,0.075471698,0.018867925,0,0,0.094339623,0.018867925,0.188679245,0.018867925,0,0,0,0.075471698,0,0,0,0,0,0,0,0,0.452830189,0.018867925,0.018867925,0.037735849,0.037735849,0.094339623,0.188679245,0.094339623,0.037735849,0.113207547,0.056603774,0.188679245,0.075471698,0.037735849,0,0,0.018867925,0,0,0,0,0.018867925,0.056603774,0,0.037735849,0.056603774,0.094339623,0.094339623,0,0.056603774,0.056603774,0.056603774,0,0,0,0.018867925,0.056603774,0,0,0.132075472,0.075471698,0.075471698,0,0,0,0.018867925,0,0.018867925,0.018867925,0,0,0,0,0.018867925,0,0,0,0.018867925,0,0,0
石川県,温泉めい想倶楽部　富士屋旅館,81,0,0,,32,60,4.372881356,,4.271186441,,4.517241379,,7.320987654,24,26,-0.024691358,0,0,,0.012345679,0.185185185,0.271604938,0.135802469,0.222222222,0.12345679,0.024691358,0.024691358,0,0,0.419753086,0.580246914,0.641975309,0.271604938,0.061728395,0.024691358,0,0.024691358,0.172839506,0.098765432,0.320987654,0.049382716,0,0.12345679,0,0.135802469,0.024691358,0,0,0.567901235,0.839506173,0.703703704,0.074074074,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0,0.024691358,0.024691358,0.049382716,0.098765432,0.172839506,0.172839506,0.098765432,0.049382716,0.061728395,0.111111111,0.074074074,0.024691358,0.037037037,0,0,0,0,0,0,0,0,0,0.012345679,0.049382716,0.061728395,0.098765432,0.037037037,0,0.037037037,0.172839506,0.037037037,0.012345679,0.024691358,0.061728395,0.012345679,0.086419753,0.037037037,0.012345679,0.024691358,0.111111111,0.074074074,0,0,0,0.012345679,0.012345679,0,0,0,0.012345679,0,0,0,0,0,0,0,0,0,0
石川県,白峰温泉総湯,33,2,0,,64,39,4.677419355,4.5,4.677419355,5,4.586206897,5,9.090909091,23,1,0.666666667,2,0,1,0,0.121212121,0.151515152,0.151515152,0.393939394,0.151515152,0.03030303,0,0,0,0.393939394,0.575757576,0.272727273,0.121212121,0.03030303,0.03030303,0.545454546,0.151515152,0.060606061,0.242424242,0.303030303,0.03030303,0,0.121212121,0,0.060606061,0,0,0,0.121212121,0.818181818,0.424242424,0.03030303,0,0,0,0.03030303,0,0,0,0,0,0,0.03030303,0,0.03030303,0.060606061,0.03030303,0.090909091,0.151515152,0.121212121,0.121212121,0.121212121,0.090909091,0.090909091,0,0.03030303,0.060606061,0.03030303,0.03030303,0,0,0,0,0,0,0.03030303,0,0.03030303,0,0,0.03030303,0.03030303,0,0,0.212121212,0.272727273,0,0.03030303,0.03030303,0,0.090909091,0,0.03030303,0,0.121212121,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,道の駅めぐみ白山,37,5,5,0,58,29,4.363636364,4.6,4.545454545,4,4.4375,4.8,8.027027027,20,8,0.324324324,3,1,0.4,0,0.162162162,0.081081081,0.351351351,0.189189189,0.189189189,0.027027027,0,0,0,0.27027027,0.648648649,0.27027027,0.243243243,0.081081081,0.216216216,0.189189189,0.243243243,0.081081081,0.027027027,0.351351351,0,0,0.054054054,0,0.162162162,0.054054054,0,0,0.081081081,0.216216216,0.405405405,0.027027027,0,0,0,0.243243243,0,0,0,0,0,0,0.162162162,0,0.081081081,0.054054054,0.027027027,0.162162162,0.135135135,0.108108108,0.027027027,0.162162162,0.081081081,0.054054054,0.081081081,0.081081081,0,0.027027027,0.054054054,0,0,0,0,0,0,0,0,0,0,0.027027027,0.135135135,0.027027027,0,0.081081081,0.081081081,0.054054054,0,0,0.054054054,0.027027027,0.108108108,0.027027027,0,0,0.081081081,0.081081081,0,0,0.027027027,0,0.054054054,0.054054054,0,0,0,0,0,0.027027027,0,0,0,0,0,0,0
石川県,よしのや依緑園,56,0,0,,43,61,4.450980392,,4.490566038,,4.547169811,,8.089285714,30,9,0.375,0,0,,0,0.071428571,0.107142857,0.267857143,0.142857143,0.267857143,0.142857143,0,0,0,0.375,0.571428571,0.785714286,0.142857143,0.053571429,0.017857143,0,0.142857143,0,0.071428571,0.357142857,0.017857143,0.017857143,0.125,0.017857143,0.125,0.089285714,0,0,0.678571429,0.803571429,0.5,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857,0.089285714,0.125,0.071428571,0.071428571,0.089285714,0.125,0.125,0.053571429,0.053571429,0.035714286,0.053571429,0.017857143,0,0,0,0,0,0.017857143,0,0,0,0.017857143,0,0.035714286,0.017857143,0,0.035714286,0.107142857,0.071428571,0,0,0.071428571,0.017857143,0.071428571,0.017857143,0.053571429,0.035714286,0.25,0.071428571,0.035714286,0.017857143,0,0,0,0,0,0,0,0.017857143,0,0.017857143,0,0,0,0,0,0,0
石川県,月うさぎの里,36,1,2,-0.5,59,49,4.352941176,4,4.466666667,4,4.457142857,5,7.666666667,14,10,0.111111111,0,1,-1,0.027777778,0.111111111,0.416666667,0.166666667,0.166666667,0.111111111,0,0,0,0,0.277777778,0.694444444,0.555555556,0.111111111,0.138888889,0.055555556,0.138888889,0.055555556,0.083333333,0,0.25,0.027777778,0,0.055555556,0,0.388888889,0.083333333,0,0,0.444444444,0.527777778,0.444444444,0.083333333,0,0,0,0.027777778,0,0,0,0,0,0,0.083333333,0,0.027777778,0,0.027777778,0.027777778,0.138888889,0.222222222,0.194444444,0.083333333,0.055555556,0.027777778,0.111111111,0.055555556,0,0.055555556,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0.027777778,0,0.027777778,0.111111111,0.055555556,0,0,0.138888889,0,0.111111111,0.083333333,0,0.027777778,0.166666667,0.055555556,0.055555556,0,0,0,0,0,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0
石川県,山代温泉　総湯,53,1,0,,45,50,4.5625,0,4.574468085,0,4.538461538,4,8.377358491,24,5,0.358490566,0,0,0,0.018867925,0.132075472,0.226415094,0.150943396,0.283018868,0.113207547,0.075471698,0,0,0,0.377358491,0.58490566,0.471698113,0.301886793,0.056603774,0.094339623,0.075471698,0.169811321,0.132075472,0.018867925,0.226415094,0.018867925,0,0.113207547,0.018867925,0.150943396,0,0,0,0.490566038,0.830188679,0.679245283,0.037735849,0,0,0,0.018867925,0,0,0,0,0,0,0.018867925,0,0.037735849,0,0.037735849,0.150943396,0.113207547,0.075471698,0.094339623,0.056603774,0.094339623,0.075471698,0.094339623,0.094339623,0.056603774,0.056603774,0,0,0,0.018867925,0,0,0,0.018867925,0,0,0.075471698,0.094339623,0.113207547,0.113207547,0.037735849,0.018867925,0.018867925,0.037735849,0,0,0.094339623,0.018867925,0.132075472,0,0.037735849,0.018867925,0.056603774,0.037735849,0,0,0.018867925,0.018867925,0,0,0,0,0,0,0,0.018867925,0,0,0,0,0,0,0
石川県,ポイントバケーション加賀山中,188,14,11,0.272727273,16,19,4.385542169,3.285714286,4.408284024,3.785714286,4.392265193,3.857142857,8.026595745,83,29,0.287234043,4,3,0.071428571,0,0.021276596,0.053191489,0.04787234,0.20212766,0.521276596,0.154255319,0,0,0,0.494680851,0.436170213,0.260638298,0.45212766,0.186170213,0.10106383,0,0.026595745,0.005319149,0.053191489,0.606382979,0,0.010638298,0.085106383,0.005319149,0.095744681,0.021276596,0,0,0.510638298,0.771276596,0.569148936,0.117021277,0,0,0,0.021276596,0,0,0,0,0,0,0.058510638,0,0.005319149,0.04787234,0.031914894,0.069148936,0.063829787,0.20212766,0.122340426,0.090425532,0.085106383,0.053191489,0.063829787,0.122340426,0.015957447,0.031914894,0,0,0,0,0,0,0,0.005319149,0,0.005319149,0.026595745,0.037234043,0.058510638,0.053191489,0,0.010638298,0.021276596,0.015957447,0.005319149,0.015957447,0.026595745,0.010638298,0.111702128,0.037234043,0.074468085,0.085106383,0.218085106,0.095744681,0.037234043,0.005319149,0,0,0.010638298,0.021276596,0,0,0,0.005319149,0,0,0,0,0.005319149,0,0,0,0
石川県,湯快リゾート 縁起の宿 矢田屋松濤園,33,0,0,,65,62,4.606060606,,4.5625,,4.575757576,,9.03030303,21,0,0.636363636,0,0,,0,0.090909091,0.151515152,0.181818182,0.363636364,0.212121212,0,0,0,0,0.424242424,0.575757576,0.666666667,0.303030303,0.03030303,0,0,0.03030303,0,0,0.393939394,0,0,0.333333333,0,0.060606061,0,0,0,0.757575758,0.727272727,0.636363636,0.090909091,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0,0,0,0,0.151515152,0.03030303,0.090909091,0.242424242,0.121212121,0.121212121,0.03030303,0.151515152,0.03030303,0.03030303,0,0,0,0.03030303,0,0,0,0,0,0,0,0,0.060606061,0.03030303,0.03030303,0.090909091,0.03030303,0.03030303,0,0,0,0,0.242424242,0,0,0,0.303030303,0.090909091,0.03030303,0.03030303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,法師旅館,154,31,1,30,18,9,4.422222222,3.935483871,4.422222222,3.967741935,4.456375839,4.451612903,8.136363636,76,24,0.337662338,15,6,0.290322581,0.006493506,0.155844156,0.168831169,0.155844156,0.201298701,0.253246753,0.058441558,0,0,0,0.344155844,0.62987013,0.590909091,0.194805195,0.103896104,0.097402597,0.012987013,0.019480519,0.090909091,0.071428571,0.402597403,0.012987013,0.012987013,0.155844156,0.012987013,0.103896104,0.006493506,0,0,0.642857143,0.824675325,0.532467533,0.077922078,0,0,0,0.012987013,0,0,0,0,0,0,0.038961039,0,0.006493506,0.025974026,0.058441558,0.11038961,0.090909091,0.123376623,0.116883117,0.077922078,0.123376623,0.045454545,0.025974026,0.084415584,0.038961039,0.077922078,0.006493506,0,0,0.006493506,0,0,0.006493506,0.006493506,0,0.012987013,0.012987013,0.006493506,0.136363636,0.064935065,0.012987013,0.103896104,0.084415584,0.045454545,0,0,0.025974026,0.019480519,0.123376623,0.006493506,0.006493506,0.038961039,0.123376623,0.084415584,0.019480519,0,0.006493506,0,0.012987013,0,0.006493506,0,0.006493506,0,0.006493506,0,0,0,0,0,0,0,0.006493506
石川県,スーパーホテル石川・能美根上スマートインター,34,0,0,,62,63,4.7,,4.625,,4.515151515,,8.235294118,18,6,0.352941177,0,0,,0.029411765,0.029411765,0.176470588,0.117647059,0.470588235,0.117647059,0,0.058823529,0,0,0.441176471,0.558823529,0.470588235,0.294117647,0.088235294,0.147058824,0,0.205882353,0.088235294,0,0.264705882,0,0,0.117647059,0.088235294,0.088235294,0,0,0,0.147058824,0.176470588,0.235294118,0,0,0,0,0.029411765,0,0,0,0,0,0,0.088235294,0,0.323529412,0,0.088235294,0.029411765,0.029411765,0.235294118,0.147058824,0.147058824,0.029411765,0.117647059,0.029411765,0.058823529,0.029411765,0.058823529,0,0,0,0,0,0,0,0,0.058823529,0,0.029411765,0.058823529,0,0.058823529,0,0,0.088235294,0,0,0.029411765,0.029411765,0.058823529,0.176470588,0,0.088235294,0.058823529,0.147058824,0.088235294,0,0,0,0,0,0,0,0.029411765,0,0,0,0,0,0,0,0,0,0,0
石川県,お花見久兵衛,35,0,0,,60,64,4.4375,,4.5,,4.470588235,,8.028571429,19,7,0.342857143,0,0,,0,0.114285714,0.257142857,0.171428571,0.171428571,0.2,0.085714286,0,0,0,0.342857143,0.657142857,0.6,0.2,0.142857143,0,0.057142857,0.028571429,0.085714286,0.114285714,0.2,0,0,0.2,0,0.314285714,0.028571429,0,0,0.714285714,0.828571429,0.571428571,0.171428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0.057142857,0.142857143,0.114285714,0.2,0.085714286,0.028571429,0.114285714,0.028571429,0.142857143,0.028571429,0.028571429,0,0,0,0.028571429,0,0,0,0,0,0,0,0.057142857,0.057142857,0.028571429,0,0.257142857,0.057142857,0.114285714,0,0,0.028571429,0.028571429,0.114285714,0,0.085714286,0.028571429,0.057142857,0.028571429,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,トレインパーク白山,150,114,36,2.166666667,19,2,4.492647059,4.043859649,4.450704225,4.219298246,4.531468531,4.271929825,8.1,64,19,0.3,47,15,0.280701754,0.026666667,0.093333333,0.4,0.28,0.113333333,0.073333333,0.013333333,0,0,0,0.48,0.506666667,0.173333333,0.18,0.106666667,0.193333333,0.346666667,0.06,0.04,0.02,0.06,0,0,0.066666667,0.013333333,0.686666667,0,0,0,0.093333333,0.126666667,0.34,0.026666667,0,0,0,0.06,0,0,0,0,0,0,0.046666667,0,0.026666667,0.02,0.026666667,0.046666667,0.086666667,0.106666667,0.153333333,0.146666667,0.093333333,0.093333333,0.073333333,0.06,0.02,0.073333333,0.006666667,0,0,0.013333333,0,0,0,0,0.013333333,0,0.046666667,0.033333333,0.146666667,0.066666667,0.006666667,0.113333333,0.193333333,0.08,0,0,0.02,0.006666667,0.073333333,0,0.013333333,0.013333333,0.066666667,0.053333333,0.013333333,0,0,0.013333333,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0,0
石川県,のと里山空港,62,8,12,-0.333333333,40,25,4.18,3.5,4.24,3.75,4.666666667,4.375,8.344262295,30,9,0.338709677,3,1,0.25,0,0.193548387,0.209677419,0.241935484,0.225806452,0.112903226,0.016129032,0,0,0,0.435483871,0.516129032,0.209677419,0.322580645,0.112903226,0.258064516,0.096774194,0.209677419,0.064516129,0.209677419,0.241935484,0.048387097,0,0.048387097,0.032258065,0.080645161,0.016129032,0,0,0.14516129,0.241935484,0.564516129,0.064516129,0,0,0,0.14516129,0,0,0,0,0,0,0.016129032,0,0.096774194,0.048387097,0.016129032,0.112903226,0.064516129,0.080645161,0.129032258,0.096774194,0.032258065,0.048387097,0.080645161,0.177419355,0.064516129,0.048387097,0,0,0,0,0,0,0.016129032,0.016129032,0,0,0.096774194,0.032258065,0.483870968,0.14516129,0,0.016129032,0.064516129,0.016129032,0,0.016129032,0.016129032,0.016129032,0,0,0,0,0.048387097,0,0,0,0,0.016129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石川県,能登食祭市場,106,3,2,0.5,25,37,4.494949495,4,4.5,4,4.333333333,4,8.283018868,61,20,0.386792453,1,1,0,0.018867925,0.245283019,0.20754717,0.075471698,0.188679245,0.216981132,0.047169811,0,0,0,0.405660377,0.58490566,0.254716981,0.330188679,0.066037736,0.028301887,0.320754717,0.056603774,0.160377359,0.198113208,0.301886793,0.028301887,0,0.113207547,0.009433962,0.056603774,0.037735849,0,0,0.198113208,0.386792453,0.641509434,0.066037736,0,0,0,0.066037736,0,0,0,0,0,0,0.075471698,0,0.018867925,0.094339623,0.047169811,0.122641509,0.132075472,0.094339623,0.08490566,0.047169811,0.094339623,0.075471698,0.066037736,0.066037736,0.037735849,0.037735849,0,0,0,0,0,0,0,0,0,0.009433962,0.037735849,0.047169811,0.169811321,0.08490566,0.009433962,0.150943396,0.141509434,0.037735849,0,0.018867925,0.009433962,0,0.056603774,0.009433962,0.009433962,0.018867925,0.132075472,0.009433962,0.009433962,0,0.028301887,0,0,0,0,0,0,0,0,0.009433962,0,0,0,0,0,0,0
石川県,加賀屋,44,0,0,,52,65,4.568181818,,4.477272727,,,,9.045454545,28,0,0.636363636,0,0,,0,0.090909091,0.159090909,0.318181818,0.181818182,0.181818182,0.068181818,0,0,0,0.386363636,0.590909091,0.5,0.340909091,0.068181818,0.090909091,0,0.022727273,0.136363636,0.136363636,0.25,0.022727273,0.022727273,0.181818182,0,0.113636364,0.022727273,0,0,0.636363636,0.795454546,0.727272727,0.090909091,0,0,0,0.022727273,0,0,0,0,0,0,0.068181818,0,0.022727273,0,0.022727273,0.068181818,0.159090909,0.136363636,0.090909091,0.113636364,0.113636364,0.068181818,0.045454545,0.113636364,0.022727273,0.045454545,0,0,0,0.022727273,0,0,0,0,0.045454545,0,0.045454545,0.022727273,0.136363636,0.045454545,0.022727273,0.045454545,0.113636364,0.045454545,0,0.113636364,0.068181818,0,0.068181818,0,0,0.022727273,0.068181818,0,0,0,0,0,0.045454545,0,0.022727273,0,0,0.022727273,0,0.022727273,0,0,0,0,0,0,0
石川県,千里浜レストハウス,106,49,7,6,26,3,4.387755102,4.387755102,4.412371134,4.408163265,4.602272727,4.530612245,8.405660377,55,16,0.367924528,30,7,0.469387755,0.047169811,0.122641509,0.150943396,0.160377359,0.311320755,0.169811321,0.037735849,0,0,0,0.405660377,0.58490566,0.283018868,0.339622642,0.113207547,0.122641509,0.141509434,0.122641509,0.103773585,0.122641509,0.245283019,0.037735849,0,0.113207547,0,0.103773585,0,0,0,0.150943396,0.330188679,0.518867925,0.056603774,0,0,0,0.094339623,0,0,0,0,0,0,0.179245283,0,0,0.066037736,0.056603774,0.047169811,0.141509434,0.08490566,0.08490566,0.160377359,0.094339623,0.056603774,0.066037736,0.037735849,0.018867925,0.08490566,0.009433962,0,0,0,0,0.009433962,0.009433962,0.047169811,0.018867925,0.018867925,0.066037736,0.037735849,0.141509434,0.094339623,0,0.047169811,0.094339623,0.009433962,0,0.047169811,0.009433962,0,0.056603774,0.009433962,0.047169811,0.037735849,0.08490566,0.056603774,0.018867925,0,0.009433962,0,0.009433962,0,0.009433962,0,0,0,0,0,0,0,0,0,0,0,0
石川県,道の駅のと千里浜,57,2,1,1,42,40,4.574074074,4,4.545454545,4,4.702702703,4,8.649122807,33,4,0.50877193,1,0,0.5,0.01754386,0.140350877,0.228070175,0.228070175,0.210526316,0.122807018,0.052631579,0,0,0,0.385964912,0.578947368,0.263157895,0.228070175,0.052631579,0.140350877,0.315789474,0.070175439,0.087719298,0.070175439,0.350877193,0,0.035087719,0.192982456,0.087719298,0.070175439,0,0,0,0.175438597,0.368421053,0.614035088,0.157894737,0,0,0,0.052631579,0,0,0,0,0,0,0.210526316,0,0.087719298,0.070175439,0.070175439,0.105263158,0.105263158,0.140350877,0.140350877,0.140350877,0.035087719,0.035087719,0.01754386,0.01754386,0.105263158,0.01754386,0.01754386,0,0,0,0.035087719,0,0,0.01754386,0,0.01754386,0.01754386,0.01754386,0.105263158,0.087719298,0.01754386,0.105263158,0.263157895,0.01754386,0,0,0,0,0.105263158,0.01754386,0,0.01754386,0.052631579,0.035087719,0.01754386,0,0,0,0,0,0,0,0,0,0,0.01754386,0,0,0,0.01754386,0,0,0
石川県,のとじま水族館,376,5,1,4,7,30,4.505747126,4.6,4.522346369,4.6,4.636363636,4.4,8.611702128,215,37,0.473404255,2,0,0.4,0.007978723,0.175531915,0.305851064,0.22606383,0.20212766,0.074468085,0.007978723,0,0,0,0.473404255,0.521276596,0.353723404,0.244680851,0.087765957,0.066489362,0.247340426,0.069148936,0.156914894,0.098404255,0.183510638,0.010638298,0,0.063829787,0.018617021,0.308510638,0.045212766,0,0,0.279255319,0.478723404,0.534574468,0.066489362,0,0,0,0.015957447,0,0,0,0,0,0,0.07712766,0,0.010638298,0.018617021,0.029255319,0.087765957,0.106382979,0.138297872,0.146276596,0.093085106,0.093085106,0.066489362,0.069148936,0.095744681,0.034574468,0.021276596,0.007978723,0,0,0.010638298,0,0,0.010638298,0.007978723,0,0.007978723,0.04787234,0.034574468,0.093085106,0.031914894,0.037234043,0.130319149,0.199468085,0.02393617,0.005319149,0.050531915,0.026595745,0.007978723,0.074468085,0.010638298,0.021276596,0.034574468,0.031914894,0.026595745,0.015957447,0.007978723,0.005319149,0,0.005319149,0.002659574,0,0.002659574,0.007978723,0,0,0.013297872,0,0,0.002659574,0,0.002659574,0,0
石川県,ランプの宿,48,0,0,,48,66,4.659090909,,4.622222222,,,,9.1875,35,2,0.6875,0,0,,0,0.125,0.125,0.041666667,0.270833333,0.333333333,0.083333333,0.020833333,0,0,0.416666667,0.583333333,0.3125,0.458333333,0.083333333,0.145833333,0,0.0625,0.166666667,0.104166667,0.479166667,0.0625,0,0.0625,0,0,0,0,0,0.645833333,0.791666667,0.6875,0.0625,0,0,0,0.020833333,0,0,0,0,0,0,0.020833333,0,0,0.041666667,0.041666667,0.145833333,0.0625,0.083333333,0.041666667,0.104166667,0.125,0.020833333,0.125,0.104166667,0.041666667,0.0625,0,0,0.020833333,0,0,0,0.0625,0,0.0625,0.020833333,0.020833333,0.0625,0.145833333,0.166666667,0,0.041666667,0.020833333,0,0.020833333,0.020833333,0.041666667,0,0.041666667,0,0,0.020833333,0.0625,0.020833333,0,0.020833333,0,0,0,0.0625,0.020833333,0,0,0.020833333,0,0,0,0,0,0,0.020833333,0,0
石川県,休暇村能登千里浜,35,0,0,,61,67,4.4375,,4.393939394,,4.37037037,,7.857142857,11,7,0.114285714,0,0,,0,0.028571429,0.142857143,0.171428571,0.171428571,0.342857143,0.142857143,0,0,0,0.457142857,0.514285714,0.542857143,0.228571429,0.142857143,0.085714286,0,0.085714286,0.028571429,0.057142857,0.371428571,0.028571429,0,0.142857143,0.028571429,0.057142857,0.057142857,0,0,0.571428571,0.542857143,0.514285714,0.028571429,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0.085714286,0.028571429,0,0.057142857,0.257142857,0.171428571,0.057142857,0.085714286,0.085714286,0.114285714,0.057142857,0.085714286,0,0,0,0.028571429,0,0,0,0,0,0.057142857,0.057142857,0,0.085714286,0.028571429,0.142857143,0,0.057142857,0.057142857,0.171428571,0.028571429,0,0,0.028571429,0.028571429,0.057142857,0,0.028571429,0,0.057142857,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0
石川県,コスモアイル羽咋,47,44,0,,51,6,4.577777778,4.363636364,4.6,4.409090909,4.6,4.386363636,8.659574468,28,5,0.489361702,27,4,0.522727273,0.042553191,0.14893617,0.106382979,0.276595745,0.382978723,0.042553191,0,0,0,0,0.553191489,0.425531915,0.361702128,0.276595745,0.085106383,0.106382979,0.170212766,0.127659575,0.021276596,0.063829787,0.212765957,0.042553191,0,0.106382979,0.021276596,0.255319149,0,0,0,0.14893617,0.106382979,0.212765957,0.021276596,0,0,0,0.063829787,0,0,0,0,0,0,0.085106383,0,0,0.085106383,0,0.042553191,0.085106383,0.042553191,0.106382979,0.042553191,0.234042553,0.042553191,0.042553191,0.14893617,0.042553191,0.085106383,0.021276596,0,0,0,0,0,0,0,0,0.063829787,0.063829787,0.063829787,0.106382979,0.042553191,0.021276596,0.063829787,0.127659575,0.106382979,0,0,0.063829787,0.042553191,0.063829787,0,0.021276596,0,0.042553191,0.085106383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
