エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
金沢エリア	石川県観光物産館	2025/08/25	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光	新幹線, 在来線	在来線	満足	温泉地までが遠い	20,000円以上 30,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	観光展・物産展, 友人・知人	兼六園		金沢21世紀美術館		1,000円以上 3,000円未満	満足		満足		感じた	ロッカーが無い	7		機会があれば行きたい	海鮮が美味しい	女	1984	兵庫県	加古川市西神吉町	200万円以上 300万円未満	景品が当たる	満足	7	
金沢エリア	兼六駐車場	2025/08/26	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, 地元の美味しいものを食べる, まちあるき、都市散策	レンタカー, 飛行機	レンタカー	満足	長時間の移動にならないので，子連れでも楽なほうだった！	50,000円以上 100,000円未満	20,000円以上 30,000円未満	20,000円以上 30,000円未満	初めて	インターネット・アプリ	兼六園		金沢21世紀美術館		1,000円以上 3,000円未満	とても満足	見応えあった！	満足	日影があれば大満足だった！	感じた	日影が少ない	8	お土産やさんをもう少し子ども向けのもの充実させて	機会があれば行きたい	B級グルメをもっと推して欲しい	女	1986	北海道	札幌市	600万円以上 700万円未満	景品が当たる, ひゃくまんさんが好き	とても満足	8	北海道からは少し移動しにくいかもだけど，富山空港使うと行きやすいので，勧められる！
金沢エリア	近江町市場商店街	2025/08/26	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	友人	地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	自家用車	自家用車			5,000円以上 10,000円未満	3,000円以上 5,000円未満	10,000円以上 20,000円未満	2～5回目	また来たいと思ったから	ひがし茶屋街		選択なし/該当施設なし	帰宅	使わない	とても満足		とても満足	人が良い	感じた	トイレ	8		機会があれば行きたい	郷土料理	女	1980	東京都	江戸川区平井	500万円以上 600万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	9	ゆっくりできる
金沢エリア	石川県金沢駅	2025/08/27	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	恋人	地元の美味しいものを食べる, まちあるき、都市散策	新幹線	路線バス	不満	雷雨の影響かもしれないが、北陸鉄道のバスの運転が非常に荒く怖く感じる。ICカードが使えないという不便も感じた	10,000円以上 20,000円未満	5,000円以上 10,000円未満	10,000円以上 20,000円未満	初めて	観光展・物産展	近江町市場		ひがし茶屋街		5,000円以上 10,000円未満	どちらでもない		どちらでもない		感じなかった		6		機会があれば行きたい	謎解きとか、体験系が望ましい	その他	1986	東京都	目黒区	300万円以上 400万円未満	ひゃくまんさんが好き, 石川県の雑学を知りたい	満足	8	
金沢エリア	金沢港クルーズターミナル	2025/08/28	同意する	4泊以上	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	夫婦と妹	地元の美味しいものを食べる, 名所、旧跡の観光, 各種体験（手作り、果物狩りなど）	新幹線	タクシー	満足	よいタクシー運転手さんでした。道も空いていてすぐ着きました。	100,000円以上	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	新聞・雑誌・ガイドブック, 観光パンフレット・ポスター, インターネット・アプリ	選択なし/該当施設なし	ホテルから直接	選択なし/該当施設なし	ホテルに戻る	1,000円未満	不満	レストランの椅子が汚い	どちらでもない	空いていてよかった	感じなかった		5	展望台で海を見た	あまり行きたいと思わない	和菓子、魚介類	女	1967	東京都	武蔵野市	300万円以上 400万円未満	景品が当たる	どちらでもない	5	
加賀エリア	月うさぎの里	2025/07/31	同意する	3泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	富山県	小学生以下連れの家族	温泉や露天風呂, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 友人・親戚を訪ねる	自家用車	自家用車			20,000円以上 30,000円未満	20,000円以上 30,000円未満	30,000円以上 40,000円未満	初めて	観光パンフレット・ポスター, 友人・知人	石川県立航空プラザ		選択なし／該当施設なし	石川県立図書館	1,000円以上 3,000円未満	満足	のんびりとうさぎと触れ合うことができて癒されたから	満足	子どもが喜んでいたから	感じた	飼育スペースが屋外だったので、天候や気温により快適さか変わってくると思った	5	うさぎグッズがたくさん揃っていたのでうさぎ好きには堪らないと思いました！	機会があれば行きたい	歌舞伎などの文芸劇を仕上がってください	女	1998	徳島県	徳島市	400万円以上 500万円未満	景品が当たる, ARでひゃくまんさんと写真が撮りたかった, 動く３Dひゃくまんさんを見たい, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	8	地元にはない特産品や風土を感じたから
加賀エリア	トレインパーク白山	2025/07/31	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	自分ひとり	花見や紅葉などの自然鑑賞, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット	自家用車	自家用車			使わない	3,000円以上 5,000円未満	使わない	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		1,000円未満	どちらでもない	少し価格が高いから。	満足	気軽に新幹線を眺めることができるから。	感じた	1階に飲食スペースがないこと。	8		また行きたい（1年以内）	特になし	男	1978	福井県	勝山市	500万円以上 600万円未満	景品が当たる, なんとなく	満足	10	新幹線を間近に見られること。
加賀エリア	トレインパーク白山	2025/07/31	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	恋人	テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車			使わない	1,000円以上 3,000円未満	3,000円以上 5,000円未満	初めて	友人・知人	選択なし/該当施設なし	白山ホワイトロード	選択なし／該当施設なし		1,000円未満	どちらでもない		どちらでもない		感じなかった		5		また行きたい（1年以内）	特になし	男	1986	富山県	富山市	300万円以上 400万円未満	景品が当たる	満足	10	
加賀エリア	小松空港	2025/08/01	同意する	4泊以上	3泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	福井県	小学生以下連れの家族	温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）, アウトドア（海水浴、釣り、登山など）	レンタカー	自家用車, レンタカー			50,000円以上 100,000円未満	100,000円以上	5,000円以上 10,000円未満	2～5回目	インターネット・アプリ, Instagram	選択なし/該当施設なし		選択なし／該当施設なし	海水浴場	1,000円以上 3,000円未満	どちらでもない		どちらでもない		感じなかった		5		機会があれば行きたい	なし	女	1991	東京都	三鷹市	800万円以上 900万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	7	空港に楽しめる要素がない。長崎のように空港でご当地飯がたべれるといい。
加賀エリア	小松空港	2025/08/01	同意する	1泊	石川県内には宿泊しない	石川県内には宿泊しない	福井県	職場の同僚	出張など仕事関係	飛行機	在来線, 路線バス	どちらでもない	電車、バスもう少し本数があるとよい	5,000円以上 10,000円未満	20,000円以上 30,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	ボートレース三国	選択なし／該当施設なし		3,000円以上 5,000円未満	どちらでもない		どちらでもない		感じなかった		6		機会があれば行きたい	特になし	男	1986	佐賀県	唐津市	500万円以上 600万円未満	景品が当たる	どちらでもない	6	
加賀エリア	小松空港	2025/08/01	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	親	地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策, ドライブ・ツーリング	飛行機	レンタカー	とても満足	手軽だった	50,000円以上 100,000円未満	50,000円以上 100,000円未満	40,000円以上 50,000円未満	初めて	飛行機を利用したかったから	選択なし/該当施設なし	金沢市内	選択なし／該当施設なし	帰宅	1,000円以上 3,000円未満	どちらでもない		どちらでもない		感じた	美味しいコーヒーが飲みたかった	5		また行きたい（1年以内）	特になし	女	1973	神奈川県	横浜市	1,000万円以上 1,200万円未満	景品が当たる, ひゃくまんさんが好き	とても満足	10	能登の自然が美しかった
加賀エリア	トレインパーク白山	2025/08/02	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット	自家用車, 県外から訪れていない（石川県内在住）	自家用車	とても満足	こうつうのべんがい！	10,000円以上 20,000円未満	10,000円以上 20,000円未満	1,000円以上 3,000円未満	初めて	観光パンフレット・ポスター, インターネット・アプリ	選択なし/該当施設なし	そのままきた。	選択なし／該当施設なし	白山イオン	1,000円以上 3,000円未満	とても満足	安い！	とても満足	きれい	感じなかった		3	きれいだし、安くてもう一回きたい！	石川県在住	特になし	男	1956	石川県	輪島市	100万円未満	景品が当たる	とても満足	10	
加賀エリア	加賀市観光情報センター　KAGA旅・まちネット	2025/08/02	同意する	3泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	富山県	小学生以下連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	在来線	在来線, 旅行会社ツアーバス	とても満足	送迎バスがゆったりした車内と安全運転で田園風景を楽しみながら旅館に送ってくださいました	30,000円以上 40,000円未満	40,000円以上 50,000円未満	50,000円以上 100,000円未満	初めて	新聞・雑誌・ガイドブック, TV・ラジオ番組やCM, 観光連盟やDMOのHP, インターネット・アプリ, ブログ	選択なし/該当施設なし	先に金沢で観光してきた為	選択なし／該当施設なし	富山県に観光に行くため	1,000円以上 3,000円未満	とても満足	綺麗	とても満足	駅は工芸品なども飾ってあり綺麗で居心地が良かったです	感じた	構内の気温が暑かった	10	もう少し大きめのお土産屋さんがあればもっと嬉しいです	また行きたい（1年以内）	お肉もお魚も最高でした！ビーバーもとても美味しかったです！お米を推したお菓子ももっと欲しいなと思いました！	女	1985	埼玉県	さいたま市	500万円以上 600万円未満	景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい, 石川県の雑学を知りたい	とても満足	10	歴史が残る街並みには感動しましたし、どこに行っても石川の人々が優しかったです
加賀エリア	日本自動車博物館	2025/08/02	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車			1,000円以上 3,000円未満	3,000円以上 5,000円未満	1,000円以上 3,000円未満	初めて	Instagram	選択なし/該当施設なし		選択なし／該当施設なし	小松空港	1,000円以上 3,000円未満	満足		満足		感じなかった		6		また行きたい（1年以内）	暑い中や雨の日でも遊べる場所	女	1994	石川県	能美市	900万円以上 1,000万円未満	景品が当たる	とても満足	10	
加賀エリア	ポイントバケーション加賀山中	2025/08/02	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	温泉や露天風呂, ぶらぶらドライブ	自家用車	自家用車			40,000円以上 50,000円未満	20,000円以上 30,000円未満	20,000円以上 30,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		ゆのくにの森		3,000円以上 5,000円未満	どちらでもない		どちらでもない	明日行くのでわからないです	感じなかった		6	明日行くので楽しみです！	機会があれば行きたい	縦に長く、少し移動が大変かなぁ…	女	1964	兵庫県	加古川市	400万円以上 500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	7	温泉が良き
加賀エリア	加賀伝統工芸村　ゆのくにの森	2025/08/03	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	福井県	小学生以下連れの家族	買い物、アウトレット	自家用車	自家用車	とても満足		1,000円未満	1,000円未満	1,000円未満	初めて	観光展・物産展	ゆのくにの森		ゆのくにの森		1,000円未満	満足		とても満足		感じた		5		どちらともいえない	なし	女	1986	福井県	鯖江市	500万円以上 600万円未満	景品が当たる	満足	5	
加賀エリア	小松空港	2025/08/03	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	富山県	自分ひとり	出張など仕事関係	新幹線	路線バス	満足	タッチ決済	1,000円以上 3,000円未満	3,000円以上 5,000円未満	3,000円以上 5,000円未満	11回目以上	移動に利用	選択なし/該当施設なし	小松空港	選択なし／該当施設なし		3,000円以上 5,000円未満	どちらでもない	コンビニがない	どちらでもない		感じた	コンビニがない	8		また行きたい（1年以内）	特になし	男	1978	富山県	射水市	1,000万円以上 1,200万円未満	景品が当たる	満足	8	
加賀エリア	ふれあい昆虫館	2025/08/03	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）	県外から訪れていない（石川県内在住）	自家用車			使わない	1,000円未満	1,000円未満	6～10回目	友人・知人	選択なし/該当施設なし	白山比咩神社	選択なし／該当施設なし		1,000円未満	満足		満足		感じた	順路が少し難しかった。	9		石川県在住	食べ歩きできるところがもっと増えて欲しい。	女	1995	石川県	金沢市	1,500万円以上	景品が当たる, ひゃくまんさんが好き	とても満足	10	
加賀エリア	ふれあい昆虫館	2025/08/03	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	名所、旧跡の観光, 買い物、アウトレット	自家用車	自家用車			10,000円以上 20,000円未満	使わない	使わない	2～5回目	Instagram	月うさぎの里		選択なし／該当施設なし		1,000円以上 3,000円未満	満足	スタップの方が丁寧で親切	満足		感じなかった		2		石川県在住	子供連れに楽しめて安価で行ける	女	1992	石川県	金沢市	400万円以上 500万円未満	景品が当たる	満足	5	
加賀エリア	トレインパーク白山	2025/08/03	同意する	日帰り	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	福井県	恋人	温泉や露天風呂	新幹線	自家用車			20,000円以上 30,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	初めて	観光展・物産展	石川県立航空プラザ		日本自動車博物館		1,000円以上 3,000円未満	満足		満足		感じなかった		6		機会があれば行きたい	特になし	男	1999	東京都	墨田区	300万円以上 400万円未満	ひゃくまんさんが好き	満足	8	
加賀エリア	日本自動車博物館	2025/08/03	同意する	2泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	富山県	自分ひとり	名所、旧跡の観光, ドライブ・ツーリング	自家用車	自家用車			5,000円以上 10,000円未満	10,000円以上 20,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	立山黒部アルペンルート	選択なし／該当施設なし	帰路に着く	1,000円以上 3,000円未満	満足	展示は良かったが、お土産なども充実しているとありがたかった	満足		感じた	どの順番で見たらいいのか分からなかった	9	飲食できないのが残念	また行きたい（1年以内）	リーズナブルなお寿司	男	1994	兵庫県	西脇市	500万円以上 600万円未満	景品が当たる	とても満足	10	行ききれなかった観光名所も多くあり、一つ一つも満足度が高かったから
加賀エリア	トレインパーク白山	2025/08/03	同意する	1泊	1泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）, お祭りやイベントへの参加・見物, 友人・親戚を訪ねる	自家用車	自家用車			使わない	1,000円以上 3,000円未満	1,000円未満	2～5回目	X(旧：Twitter), Instagram	選択なし/該当施設なし	無印良品	選択なし／該当施設なし	帰宅時間だったから	1,000円未満	満足	こども遊びエリアで靴下が必要だったが、売店での大人用の靴下の品揃えが少ない	満足		感じた	こども遊びエリアの靴下着用	9	駅弁売っていたら嬉しい	また行きたい（1年以内）	加賀野菜の種類が豊富で楽しい。	女	1987	富山県	高岡市	400万円以上 500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	10	人の流れが程よい
加賀エリア	小松空港	2025/08/04	同意する	4泊以上	石川県内には宿泊しない	石川県内には宿泊しない	香港マカオ	中学生以上連れの家族	名所、旧跡の観光, まちあるき、都市散策	県外から訪れていない（石川県内在住）	自家用車			5,000円以上 10,000円未満	5,000円以上 10,000円未満	1,000円以上 3,000円未満	初めて	新聞・雑誌・ガイドブック, インターネット・アプリ	日本自動車博物館		選択なし／該当施設なし	CERABO KUTANI	3,000円以上 5,000円未満	満足	体験ができて楽しかった	満足		感じなかった		5	都市としてある程度固まっていると良いかも	石川県在住	食器や醤油等の体験。お寿司の体験も楽しいかも	男	1976	富山県	富山市	800万円以上 900万円未満	景品が当たる	満足	5	料理が美味しくて安い
加賀エリア	小松空港	2025/08/05	同意する	4泊以上	3泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	富山県	小学生以下連れの家族	アウトドア（海水浴、釣り、登山など）, 友人・親戚を訪ねる	自家用車, 飛行機	レンタカー, 新幹線	満足	移動がスムーズだった。	使わない	10,000円以上 20,000円未満	5,000円以上 10,000円未満	6～10回目	友人・知人	選択なし/該当施設なし	富山県	選択なし／該当施設なし	最後の施設	1,000円以上 3,000円未満	どちらでもない	飲食店があまりないため	どちらでもない	ここでしか食べられないものや、買えないものがあれば良いと思います。	感じなかった		5		機会があれば行きたい	海でのアクティビティや、自然体験	女	1988	北海道	札幌市	800万円以上 900万円未満	景品が当たる	満足	6	航空プラザ　子供達が楽しそうだったから
加賀エリア	法師旅館	2025/08/05	同意する	2泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	福井県	小学生以下連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	飛行機	レンタカー	とても満足	車だと時間を気にせず移動ができ、寄り道も出来て目的地以外の発見もあった為	50,000円以上 100,000円未満	10,000円以上 20,000円未満	10,000円以上 20,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	福井県東尋坊、浜地海岸	選択なし／該当施設なし	小松空港	5,000円以上 10,000円未満	とても満足	空港のスタッフの方々が皆優しい為。ベビースペースとお土産屋が充実しているため。	とても満足	空港のスタッフの方々が皆優しい為。ベビースペースとお土産屋が充実しているため。	感じた	エレベーターがベビースペースの真逆にある為、移動に時間がかかる。	9	お土産が充実していて見ていて楽しいです。福井の一番有名な羽二重餅やさんも扱って欲しい。	また行きたい（1年以内）	石川では美味しくて新鮮な海鮮と和菓子を食べたいです。金沢市中心部はオーバーツーリズムと聞いているため解消されれば遊びに行きたい。	女	1984	東京都	港区	1,000万円以上 1,200万円未満	景品が当たる, ひゃくまんさんが好き, ARでひゃくまんさんと写真が撮りたかった	とても満足	10	法師が素晴らしかった。またすぐに泊まりたい。
加賀エリア	トレインパーク白山	2025/08/05	同意する	2泊	2泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車			5,000円以上 10,000円未満	10,000円以上 20,000円未満	3,000円以上 5,000円未満	初めて	インターネット・アプリ, X(旧：Twitter), Instagram	選択なし/該当施設なし	金沢城公園	選択なし／該当施設なし	越前津松島水族館	50,000円以上 100,000円未満	とても満足	子どもたちが楽しめる仕掛けがたくさんあり、一日いても飽きなかった。	とても満足	同上です。	感じた	お昼ご飯を食べられるところや調達できるところがあるとありがたかった。	10		機会があれば行きたい	特になし	女	1988	岐阜県	揖斐郡池田町	800万円以上 900万円未満	景品が当たる	とても満足	9	歴史的遺産と現代的なものがコンパクトにまとまっているので、過ごしやすい。
加賀エリア	トレインパーク白山	2025/08/05	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車	とても満足	特に混雑することもなく、スムーズに目的地まで辿り着けたちょっとため。	使わない	1,000円以上 3,000円未満	5,000円以上 10,000円未満	11回目以上	インターネット・アプリ, Instagram, 友人・知人	選択なし/該当施設なし		選択なし／該当施設なし		3,000円以上 5,000円未満	満足	新幹線を間近で見れることに魅力を感じた。電車の展示がもう少し豊富であると嬉しい。	満足	施設としては大変満足だが、訪れる客のマナーが気になった。係員によって注意、誘導等があると嬉しい。、	感じた	授乳室が三階にしかなくて、困った。	8	シュミレーターに、(車掌さんの点呼の言葉や、乗員乗客の姿など)もうすこし盛り上がりのある仕掛けがあると嬉しい。	機会があれば行きたい	ご当地グルメが食べられるところをもっと増やして欲しい。	女	1994	福井県	敦賀市	400万円以上 500万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい, なんとなく	満足	8	新幹線が間近に見れること。
加賀エリア	道の駅めぐみ白山	2025/08/07	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	福井県	小学生以下連れの家族	地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）	自家用車	自家用車	満足	地元の食べ物がいい	5,000円以上 10,000円未満	3,000円以上 5,000円未満	5,000円以上 10,000円未満	2～5回目	観光展・物産展	選択なし/該当施設なし	めぐみ白山	選択なし／該当施設なし	トレインパーク	3,000円以上 5,000円未満	満足	食べ物	どちらでもない		感じなかった		5		機会があれば行きたい	和菓子	女	1956	石川県	白山市	400万円以上 500万円未満	ひゃくまんさんが好き	満足	6	兼六園
加賀エリア	ふれあい昆虫館	2025/08/07	同意する	2泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	福井県	小学生以下連れの家族	花見や紅葉などの自然鑑賞, テーマパーク（遊園地、動物園、博物館など）, お祭りやイベントへの参加・見物	自家用車	自家用車			40,000円以上 50,000円未満	40,000円以上 50,000円未満	10,000円以上 20,000円未満	初めて	観光パンフレット・ポスター, インターネット・アプリ, Instagram	石川県立航空プラザ	こまつ社、サイエンスヒルズこまつ、勝山リゾートなど	選択なし／該当施設なし		10,000円以上 20,000円未満	満足	ちょうが、たくさんいて子どもたちが喜んでいた	どちらでもない	たまたま見つけたが、なかなか検索しても出てこない。また、少し寂しい感じがしたので、活性化できたら集客につながると思う。	感じなかった		5	小さい子の工作もあり楽しめた	機会があれば行きたい	観光ブックにのってない子供向けの情報発信してほしい。地元の方のインスタグラムからみつけて計画したので。	女	1987	福島県	須賀川市	700万円以上 800万円未満	景品が当たる, 石川県のおすすめ観光スポットが見たい	満足	6	小松エリアが子供づれにちょうどよい
加賀エリア	九谷セラミック・ラボラトリー（CERABO KUTANI）	2025/08/07	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	親	友人・親戚を訪ねる	飛行機	レンタカー	満足	対応が親切だった	使わない	5,000円以上 10,000円未満	3,000円以上 5,000円未満	6～10回目	友人・知人	日本自動車博物館		那谷寺		3,000円以上 5,000円未満	満足	欲しい商品があったため	満足	落ち着いた雰囲気なため	感じなかった		6	特になし	機会があれば行きたい	名物キャラクターをつくる	男	2008	神奈川県	茅ヶ崎市	600万円以上 700万円未満	景品が当たる	満足	9	
加賀エリア	トレインパーク白山	2025/08/07	同意する	3泊	3泊	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）, お祭りやイベントへの参加・見物, 友人・親戚を訪ねる	新幹線	レンタカー	満足	金沢市内から移動にそこまで時間がかからなかった。	40,000円以上 50,000円未満	10,000円以上 20,000円未満	30,000円以上 40,000円未満	2～5回目	インターネット・アプリ, Instagram, 友人・知人	選択なし/該当施設なし		日本自動車博物館		3,000円以上 5,000円未満	とても満足	新幹線について色々体験できるだけでなく、こどもの遊び場があり、意外と子供達は博物館系はすぐ飽きるので、とても助かった。	とても満足	施設はキレイで、料金も安い。お土産も充実していた。	感じた	強いて言うなら、料金体系。細かく体験まで含めて、1日All入場・体験チケットみたいなものがあると、細々と支払いをしなくて良いので助かる。子供が複数いるとなかなか入口に戻ったりが難しいので、、	10	お土産品も揃っていて、とても良かったです！	また行きたい（1年以内）	食は、お寿司と和菓子がダントツに美味しくて、なかなか他で食べられないレベル。お土産も、和菓子系がとにかく喜ばれる。パッケージも美しいものが多い。アクティビティについても、金沢市外にも色々な施設ができてきて、子連れ旅行で飽きなくなってきたように思います。	女	1979	東京都	小金井市	900万円以上 1,000万円未満	景品が当たる, 石川県の雑学を知りたい	とても満足	10	宿の方や、施設の方など、話しかけてきてくれて、人が温かい。
